Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"100uf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
D1 D2 ,2,"1N4148","Diode_THT:D_T-1_P5.08mm_Horizontal",""
J1 ,1,"europower","lib_fp:PinHeader_2x08_P2.54_Euro",""
J11 ,1,"mini-din8","lib_fp:CUI_MD-80SV","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf"
J2 J4 J6 ,3,"stereo_jack_3.5mm","lib_fp:horizontal_3.5mm_stereo_TRS_jack_A-853",""
J3 ,1,"dsub9_socket","lib_fp:tht_DSUB-9_Vertical_Tayda"," ~"
J5 J7 ,2,"din5","lib_fp:horizontal_din5-A1010","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf"
J8 ,1,"bootloader","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
J9 J10 ,2,"jumper","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
R1 R2 R3 ,3,"220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
R10 ,1,"120","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
R4 R5 R6 R7 ,4,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
R8 R9 ,2,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
SW1 ,1,"SW_Push_Dual","Button_Switch_THT:SW_PUSH_6mm_H7.3mm",""
U1 ,1,"ProMicro","lib_fp:ProMicro",""
U2 ,1,"MAX485E","Package_DIP:DIP-8_W7.62mm_LongPads","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf"
U3 ,1,"6N137","Package_DIP:DIP-8_W7.62mm","https://optoelectronics.liteon.com/upload/download/DS70-2008-0032/6N135-L%206N136-L%20series.pdf"
U4 ,1,"CD4069","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf"
U5 ,1,"usbHostMini","lib_fp:usbHostMidi",""
U6 ,1,"78L33","Package_TO_SOT_THT:TO-92_HandSolder","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf"